name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2023-01-20,9.2,4.5,6.8,6.4,3.1,4.6,1.2,69.1,0.08,100,4.17,rain,0,0,46.4,26.6,280.7,1005.5,88.2,15.7,170.5,14.9,5,10,2023-01-20T07:15:38,2023-01-20T16:58:52,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-21,6,2.9,3.9,3.2,-1.2,1.1,-4.1,56,0,0,0,,0,0,35.3,25.3,320.9,1019.6,97.8,16,154.7,13.6,3,10,2023-01-21T07:15:02,2023-01-21T17:00:03,0,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-22,5.5,2.4,3.7,5.5,-0.6,1.7,-2.9,63.3,9.161,100,29.17,rain,0,0,22.3,16.3,241.7,1018.9,91.4,13.7,157.5,13.5,3,10,2023-01-22T07:14:24,2023-01-22T17:01:15,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-23,3.9,2.2,3.2,2.8,-4,-0.7,0.2,81.8,14.19,100,66.67,rain,0,0,56.2,37.1,323.2,1004.2,99.4,10.8,122,10.8,1,10,2023-01-23T07:13:44,2023-01-23T17:02:27,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732,F7617"
"New York City,USA",2023-01-24,7.4,1.8,4.3,4.1,-2.6,1,-5.1,50.9,0,0,0,,0,0,51,22.8,285.5,1019.9,69.5,16,233.4,20.2,6,10,2023-01-24T07:13:01,2023-01-24T17:03:39,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-25,12.1,2.2,4.7,12.1,-2.1,2.5,-1.1,67.9,20.68,100,41.67,rain,0,0,59.2,25.9,101.9,1019.7,62.7,12.7,136,11.8,2,10,2023-01-25T07:12:17,2023-01-25T17:04:52,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732,F7617"
"New York City,USA",2023-01-26,13,5,7.9,13,1,5.4,0.8,62.7,11.815,100,20.83,rain,0,0,57.7,33.5,260.5,1003,90.6,14.9,143.6,12.5,1,10,2023-01-26T07:11:31,2023-01-26T17:06:05,0.16,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KLGA,E5816,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-27,5.3,2.4,3.9,3.3,-0.9,1.3,-5.2,52.4,0,0,0,,0,0,35.3,21,254.4,1018.5,40.2,16,178.4,15.6,4,10,2023-01-27T07:10:43,2023-01-27T17:07:19,0.2,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-28,11.1,2.9,6.8,11.1,-0.6,4.7,-4.7,44.3,0.699,100,4.17,rain,0,0,96.1,20.5,241.4,1024,27.5,16,207,18.2,5,10,2023-01-28T07:09:53,2023-01-28T17:08:33,0.25,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-29,11.1,6.1,8.3,11.1,4.6,7.3,-0.6,54.2,0,0,0,,0,0,32.6,16.2,255.9,1023.5,36.7,16,149,13.1,2,10,2023-01-29T07:09:02,2023-01-29T17:09:47,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,E5816,KJRB,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-30,12.8,5.1,8.2,12.8,3.7,7.2,2,65.4,0,0,0,,0,0,31.7,14.7,253.5,1020.9,23.1,16,215.3,18.6,6,10,2023-01-30T07:08:08,2023-01-30T17:11:01,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,D2180,KNYC,F1417,72503014732"
"New York City,USA",2023-01-31,8.4,1.1,3.9,6.9,-3.9,1.6,-2.8,63.1,0.318,100,16.67,rain,0,0,79.6,20.2,8.3,1022.1,99.4,15.9,143.8,12.5,2,10,2023-01-31T07:07:13,2023-01-31T17:12:15,0.33,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,D2180,KNYC,F1417,72503014732"
